,H_ratio,T_ratio
277,0.8181818181818182,0.045454545454545456
373,0.8148148148148148,0.037037037037037035
2646,0.782608695652174,0.043478260869565216
3523,0.7692307692307693,0.02564102564102564
311,0.75,0.05
1703,0.7307692307692307,0.038461538461538464
3160,0.72,0.0
84,0.7096774193548387,0.06451612903225806
400,0.7,0.0
1351,0.7,0.05
4197,0.6956521739130435,0.08695652173913043
5876,0.6956521739130435,0.0
5921,0.6956521739130435,0.021739130434782608
2347,0.6956521739130435,0.0
5936,0.6944444444444444,0.08333333333333333
609,0.6923076923076923,0.0
2758,0.6896551724137931,0.0
5392,0.6818181818181818,0.045454545454545456
2657,0.6818181818181818,0.045454545454545456
5962,0.68,0.0
1188,0.6774193548387096,0.0
397,0.6764705882352942,0.058823529411764705
4536,0.6764705882352942,0.058823529411764705
4982,0.6756756756756757,0.0
3048,0.6714285714285714,0.05714285714285714
5690,0.6666666666666666,0.0
1849,0.6666666666666666,0.0
2591,0.6585365853658537,0.04878048780487805
1763,0.6538461538461539,0.038461538461538464
1664,0.65,0.1
4547,0.65,0.05
5216,0.65,0.1
3407,0.65,0.1
7,0.6451612903225806,0.0
1672,0.6410256410256411,0.07692307692307693
3863,0.64,0.0
5477,0.64,0.04
2831,0.6388888888888888,0.05555555555555555
4642,0.6363636363636364,0.0
4159,0.6363636363636364,0.0
1384,0.6363636363636364,0.045454545454545456
177,0.6363636363636364,0.09090909090909091
803,0.6346153846153846,0.038461538461538464
4986,0.6296296296296297,0.037037037037037035
2598,0.6296296296296297,0.0
236,0.6290322580645161,0.06451612903225806
3061,0.625,0.03125
3933,0.625,0.041666666666666664
1771,0.625,0.041666666666666664
5228,0.625,0.041666666666666664
4143,0.625,0.041666666666666664
5931,0.6233766233766234,0.025974025974025976
4919,0.6216216216216216,0.05405405405405406
1003,0.6206896551724138,0.034482758620689655
3256,0.6206896551724138,0.06896551724137931
5814,0.6206896551724138,0.06896551724137931
2923,0.6190476190476191,0.047619047619047616
4,0.6190476190476191,0.0
574,0.6190476190476191,0.047619047619047616
4065,0.6190476190476191,0.047619047619047616
892,0.6176470588235294,0.058823529411764705
1558,0.6153846153846154,0.0
5633,0.6153846153846154,0.02564102564102564
1578,0.6129032258064516,0.0967741935483871
2658,0.6129032258064516,0.03225806451612903
2065,0.6129032258064516,0.0967741935483871
4722,0.6129032258064516,0.0967741935483871
2521,0.6111111111111112,0.0
2539,0.6097560975609756,0.024390243902439025
1485,0.6086956521739131,0.0
5665,0.6086956521739131,0.06521739130434782
4228,0.6086956521739131,0.13043478260869565
5385,0.6086956521739131,0.021739130434782608
5951,0.6037735849056604,0.03773584905660377
1406,0.6,0.1
6008,0.6,0.05714285714285714
2717,0.6,0.04
761,0.6,0.1
5309,0.6,0.05
997,0.6,0.03333333333333333
3136,0.6,0.075
55,0.6,0.04
4563,0.6,0.025
1830,0.6,0.0
756,0.6,0.08571428571428572
2957,0.59375,0.03125
2080,0.59375,0.09375
4668,0.59375,0.0
5975,0.5925925925925926,0.018518518518518517
5541,0.5925925925925926,0.1111111111111111
3335,0.5925925925925926,0.0
686,0.5925925925925926,0.1111111111111111
4176,0.5909090909090909,0.045454545454545456
2902,0.5909090909090909,0.045454545454545456
4944,0.5909090909090909,0.09090909090909091
4702,0.5909090909090909,0.045454545454545456
2108,0.5909090909090909,0.045454545454545456
483,0.5862068965517241,0.034482758620689655
758,0.5862068965517241,0.0
1991,0.5833333333333334,0.0
5973,0.5833333333333334,0.19444444444444445
814,0.5833333333333334,0.05555555555555555
1515,0.5833333333333334,0.08333333333333333
5696,0.5833333333333334,0.16666666666666666
6022,0.5833333333333334,0.020833333333333332
2543,0.5833333333333334,0.0
5381,0.5833333333333334,0.041666666666666664
4254,0.5833333333333334,0.08333333333333333
674,0.5822784810126582,0.02531645569620253
3595,0.5806451612903226,0.03225806451612903
2191,0.5789473684210527,0.05263157894736842
4424,0.5757575757575758,0.09090909090909091
3502,0.5757575757575758,0.030303030303030304
4770,0.5757575757575758,0.0
2083,0.575,0.05
3631,0.575,0.075
3166,0.575,0.05
5199,0.5714285714285714,0.08571428571428572
1549,0.5714285714285714,0.14285714285714285
1787,0.5714285714285714,0.07142857142857142
1402,0.5714285714285714,0.08163265306122448
2915,0.5694444444444444,0.06944444444444445
3268,0.5671641791044776,0.0
5984,0.5666666666666667,0.0
4395,0.5666666666666667,0.1
5918,0.5652173913043478,0.043478260869565216
2799,0.5652173913043478,0.0
1914,0.5652173913043478,0.043478260869565216
4202,0.5652173913043478,0.08695652173913043
2729,0.5652173913043478,0.0
2963,0.5641025641025641,0.05128205128205128
1289,0.5641025641025641,0.02564102564102564
5666,0.5625,0.0625
491,0.56,0.04
431,0.5595238095238095,0.047619047619047616
5377,0.5581395348837209,0.11627906976744186
3190,0.5555555555555556,0.027777777777777776
472,0.5555555555555556,0.044444444444444446
