1,914,3
1,3408,4
1,2355,5
1,1197,3
1,1287,5
1,2804,5
1,594,4
1,919,4
1,595,5
1,938,4
1,2398,4
1,2918,4
1,1035,5
1,2791,4
1,2687,3
1,2018,4
1,3105,5
1,720,3
1,1270,5
1,527,5
1,2340,3
1,48,5
1,1721,4
1,1545,4
1,745,3
1,2294,4
1,1566,4
1,588,4
1,783,4
1,1836,5
1,1022,5
1,2762,4
1,150,5
1,1,5
1,1961,5
1,2692,4
1,260,4
1,1028,5
1,1029,5
1,2028,5
1,3114,4
1,608,4
1,1246,4
3,3421,4
3,648,3
3,1394,4
3,3534,3
3,104,4
3,2735,4
3,1431,3
3,3868,3
3,1079,5
3,2997,3
3,1615,5
3,1291,4
3,653,4
3,1580,3
3,3619,2
3,260,5
3,2858,4
3,3114,3
3,1049,4
3,1261,1
3,552,4
3,480,4
3,1265,2
3,1266,5
3,733,5
3,2355,5
3,1197,5
3,1198,5
3,593,3
3,1379,4
3,3552,5
3,1304,5
3,1270,3
3,2470,4
3,2617,2
3,1961,4
3,2006,4
3,2871,4
3,2115,4
3,1968,4
3,1136,5
4,3468,5
4,1210,3
4,2951,4
4,1214,4
4,1036,4
4,260,5
4,480,4
4,1196,2
4,1198,5
4,1097,4
4,3418,4
4,3702,4
4,2366,4
4,1387,5
4,3527,1
4,2692,5
4,2947,5
7,648,4
7,861,4
7,2916,5
7,3793,3
7,1610,5
7,589,5
7,6,4
7,733,5
7,2353,5
7,2571,5
7,380,5
7,1997,5
7,1270,4
7,457,5
7,3753,4
7,3107,3
7,474,5
7,1722,4
7,1580,4
7,110,5
7,1221,4
7,2028,5
7,480,4
7,349,5
7,3418,3
14,3354,3
14,2997,5
14,1263,5
14,2572,1
14,2731,4
14,3033,4
14,3623,3
14,2826,2
14,2686,5
14,2692,4
14,2694,1
14,1968,2
14,3578,4
14,2920,5
14,3081,4
14,608,1
14,2959,2
14,1225,4
14,2396,4
14,2976,3
20,648,4
20,3863,3
20,589,4
