,H_ratio,M_ratio,T_ratio
3019,0.37037037,0.518518519,0.111111111
1929,0.37037037,0.444444444,0.185185185
29,0.37037037,0.509259259,0.12037037
2450,0.37037037,0.555555556,0.074074074
2028,0.37037037,0.518518519,0.111111111
4216,0.37037037,0.555555556,0.074074074
739,0.37007874,0.590551181,0.039370079
1481,0.37,0.55,0.08
5332,0.369863014,0.561643836,0.068493151
251,0.369863014,0.547945205,0.082191781
3340,0.369747899,0.487394958,0.142857143
3987,0.369565217,0.52173913,0.108695652
1005,0.369565217,0.543478261,0.086956522
4205,0.369565217,0.52173913,0.108695652
2730,0.369426752,0.547770701,0.082802548
2726,0.369047619,0.55952381,0.071428571
1064,0.368932039,0.466019417,0.165048544
851,0.368421053,0.552631579,0.078947368
4618,0.368421053,0.565789474,0.065789474
684,0.368421053,0.605263158,0.026315789
4908,0.368421053,0.570175439,0.061403509
2571,0.367647059,0.470588235,0.161764706
2712,0.367647059,0.588235294,0.044117647
1293,0.367647059,0.544117647,0.088235294
5618,0.367346939,0.56122449,0.071428571
4759,0.367346939,0.469387755,0.163265306
773,0.367346939,0.510204082,0.12244898
5414,0.367088608,0.392405063,0.240506329
1177,0.367088608,0.544303797,0.088607595
5671,0.366972477,0.587155963,0.04587156
5301,0.366906475,0.517985612,0.115107914
1275,0.366666667,0.5,0.133333333
2184,0.366666667,0.6,0.033333333
1118,0.366666667,0.533333333,0.1
3798,0.366666667,0.466666667,0.166666667
1829,0.366666667,0.366666667,0.266666667
4832,0.366412214,0.580152672,0.053435115
1585,0.366071429,0.580357143,0.053571429
3996,0.366071429,0.473214286,0.160714286
5887,0.365853659,0.548780488,0.085365854
2366,0.365853659,0.585365854,0.048780488
1581,0.365853659,0.56097561,0.073170732
2509,0.365853659,0.268292683,0.365853659
4924,0.365853659,0.512195122,0.12195122
2285,0.365384615,0.519230769,0.115384615
2937,0.365384615,0.557692308,0.076923077
845,0.365384615,0.576923077,0.057692308
3899,0.365384615,0.557692308,0.076923077
2911,0.365079365,0.507936508,0.126984127
2988,0.365079365,0.523809524,0.111111111
5170,0.364864865,0.459459459,0.175675676
99,0.364485981,0.429906542,0.205607477
3331,0.364285714,0.6,0.035714286
2322,0.363636364,0.575757576,0.060606061
5968,0.363636364,0.484848485,0.151515152
2827,0.363636364,0.575757576,0.060606061
65,0.363636364,0.595041322,0.041322314
1290,0.363636364,0.545454545,0.090909091
5807,0.363636364,0.618181818,0.018181818
1582,0.363636364,0.454545455,0.181818182
3100,0.363636364,0.545454545,0.090909091
5318,0.363636364,0.565656566,0.070707071
2479,0.363636364,0.606060606,0.03030303
1674,0.363636364,0.545454545,0.090909091
3310,0.363636364,0.545454545,0.090909091
645,0.363636364,0.477272727,0.159090909
4361,0.363636364,0.560606061,0.075757576
3531,0.363636364,0.545454545,0.090909091
4597,0.363636364,0.5,0.136363636
2705,0.363636364,0.590909091,0.045454545
4515,0.363636364,0.545454545,0.090909091
1964,0.363636364,0.5,0.136363636
2675,0.363636364,0.522727273,0.113636364
2295,0.363636364,0.409090909,0.227272727
4104,0.363636364,0.551948052,0.084415584
2727,0.363636364,0.579545455,0.056818182
1872,0.363636364,0.484848485,0.151515152
3956,0.363636364,0.515151515,0.121212121
456,0.363057325,0.592356688,0.044585987
3914,0.362831858,0.592920354,0.044247788
2158,0.362831858,0.539823009,0.097345133
3660,0.362068966,0.534482759,0.103448276
2823,0.361702128,0.489361702,0.14893617
4720,0.361702128,0.531914894,0.106382979
6028,0.361702128,0.531914894,0.106382979
5753,0.361445783,0.602409639,0.036144578
1855,0.361445783,0.578313253,0.060240964
5712,0.361445783,0.530120482,0.108433735
